"","country","field","level","sex","opiEU"
"875","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female",NA
"876","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"877","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"878","France Metropolitan","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite negative"
"879","France Metropolitan","Other","A-level or equivalent","Female","Quite positive"
"880","France Metropolitan","Arts and Humanities","A-level or equivalent","Female","Neutral"
"881","Germany","Arts and Humanities","A-level or equivalent","Female","Quite positive"
"882","Germany","Arts and Humanities","A-level or equivalent","Female",NA
"883","Tunisia","Other","Bachelors degree or equivalent","Female","Very positive"
"884","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Female","Quite positive"
"885","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female",NA
"886","Germany","Other","A-level or equivalent","Female","Quite positive"
"887","Germany","Arts and Humanities","Masters degree or equivalent","Female","Neutral"
"888","France Antilles","Health","Prefer not to answer","Female","Quite negative"
"889","Germany","Health","A-level or equivalent","Male","Quite positive"
"890","France Antilles","Arts and Humanities","Masters degree or equivalent","Female","Quite negative"
"891","France Metropolitan","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"892","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Neutral"
"893","Germany","Other","A-level or equivalent","Female","Quite positive"
"894","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Very positive"
"895","Germany","Business, administration and law","A-level or equivalent","Male","Very positive"
"896","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"897","Germany","Arts and Humanities","Masters degree or equivalent","Female",NA
"898","Germany","Other","A-level or equivalent","Female","Quite positive"
"899","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"900","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"901","Turkey","Other","A-level or equivalent","Female","Quite positive"
"902","Germany","Social sciences, journalism and information","A-level or equivalent","Female","Quite positive"
"903","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female",NA
"904","Germany","Business, administration and law","Bachelors degree or equivalent","Male","Quite positive"
"905","Germany","Social sciences, journalism and information","PhD or equivalent","Female",NA
"906","France Metropolitan","Health","Bachelors degree or equivalent","Other","Quite positive"
"907","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female",NA
"908","Germany","Other","A-level or equivalent","Female","Very positive"
"909","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite negative"
"910","Tunisia","Prefer not to answer","Bachelors degree or equivalent","Female",NA
"911","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Neutral"
"912","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"913","Germany","Business, administration and law","A-level or equivalent","Female",NA
"914","France Metropolitan","Health","Bachelors degree or equivalent","Female","Quite positive"
"915","France Metropolitan","Arts and Humanities","Masters degree or equivalent","Female","Quite positive"
"916","Tunisia","Other","Bachelors degree or equivalent","Female","Prefer not to answer"
"917","France Antilles","Other","Masters degree or equivalent","Female","Neutral"
"918","Germany","Business, administration and law","A-level or equivalent","Female","Quite positive"
"919","Tunisia","Arts and Humanities","Bachelors degree or equivalent","Female","Neutral"
"920","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Very negative"
"921","Ireland","Arts and Humanities","Bachelors degree or equivalent","Female",NA
"922","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"923","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite negative"
"924","France Antilles","Prefer not to answer","Masters degree or equivalent","Female","Very positive"
"925","Turkey","Business, administration and law","A-level or equivalent","Female","Quite negative"
"926","Turkey","Other","Prefer not to answer","Female",NA
"927","Germany","Business, administration and law","A-level or equivalent","Male","Quite positive"
"928","France Metropolitan","Engineering, manufacturing and construction","Bachelors degree or equivalent","Female","Very positive"
"929","Tunisia","Social sciences, journalism and information","Masters degree or equivalent","Male",NA
"930","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"931","Turkey","Business, administration and law","A-level or equivalent","Male","Neutral"
"932","France Antilles","Health","A-level or equivalent","Male","Very negative"
"933","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"934","Germany","Other","Bachelors degree or equivalent","Female","Quite negative"
"935","France Metropolitan","Other","Bachelors degree or equivalent","Male","Quite positive"
"936","Germany","Arts and Humanities","Bachelors degree or equivalent","Female","Quite positive"
"937","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Very positive"
"938","Germany","Business, administration and law","Bachelors degree or equivalent","Female","Quite positive"
"939","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Male","Quite positive"
"940","Germany","Natural sciences, mathematics and statistics","A-level or equivalent","Female","Quite positive"
"941","Germany","Business, administration and law","A-level or equivalent","Female","Very positive"
"942","France Metropolitan","Natural sciences, mathematics and statistics","A-level or equivalent","Male","Neutral"
"943","Ireland","Engineering, manufacturing and construction","Bachelors degree or equivalent","Male","Quite negative"
"944","France Metropolitan","Social sciences, journalism and information","Bachelors degree or equivalent","Female","Quite positive"
"945","France Antilles","Arts and Humanities","PhD or equivalent","Female","Quite negative"
"946","Turkey","Other","A-level or equivalent","Male","Quite positive"
"947","France Metropolitan","Natural sciences, mathematics and statistics","Bachelors degree or equivalent","Female","Neutral"
"948","France Metropolitan","Engineering, manufacturing and construction","PhD or equivalent","Male","Very positive"
"949","France Metropolitan","Other","Bachelors degree or equivalent","Female",NA
"950","Tunisia",NA,"PhD or equivalent",NA,"Quite negative"
"951","Germany","Other","A-level or equivalent","Female","Quite positive"
"952","Germany","Social sciences, journalism and information","PhD or equivalent","Female","Quite positive"
"953","Turkey","Other","A-level or equivalent","Female","Quite negative"
"954","France Metropolitan","Arts and Humanities","Bachelors degree or equivalent","Female","Very positive"
"955","France Metropolitan","Other","Bachelors degree or equivalent","Female","Quite positive"
"956","France Antilles","Business, administration and law","Bachelors degree or equivalent","Female","Quite negative"
